127.0.0.1 - - [26/Aug/2024:10:15:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/cow-milk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/fullcream-milk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/paneer-fresh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/tonemilk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/dbtoned-milk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/paneer-lite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/tofu%20paneer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/cow-ghee.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/cow%20ghee%20chota.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/pure.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/buffalo-ghee.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/curd-premium.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/ HTTP/1.1" 200 26227
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/nestle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/low%20fat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/mango%20tub.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/strawberry%20tub.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/black%20current%20tub.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/natural.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/milk-shake-chocolate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/milk-shake-strawberry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/cookie%20and%20cream%20shake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/butterscotch%20shake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/mozzarella.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/sweet-lassi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/cubes.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/slices.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /Revpro_App/products/cheddar%20cheese.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:15:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:22:19 +0530] "GET /Revpro_App/? HTTP/1.1" 200 26227
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:22:21 +0530] "GET /Revpro_App/? HTTP/1.1" 200 26227
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:22:25 +0530] "GET /Revpro_App/? HTTP/1.1" 200 26227
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:31:30 +0530] "GET /Revpro_App/login.jsp HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:32:01 +0530] "GET /Revpro_App/all_curd.jsp HTTP/1.1" 200 14654
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:32:01 +0530] "GET /Revpro_App/products/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:32:01 +0530] "GET /Revpro_App/products/premimum.jpg HTTP/1.1" 304 -
